title,year,runtime,genre,imdb_rating,votes,certificate,metascore,gross
Гран Торино,2008,116,['Drama'],8.1,790501,16+,72,148095302
Игра в имитацию,2014,114,"['Biography', 'Drama', 'Thriller']",8.0,790089,12+,71,91125683
Чёрный лебедь,2010,108,"['Drama', 'Thriller']",8.0,789947,16+,79,106954678
Логан,2017,137,"['Action', 'Drama', 'Sci-Fi']",8.1,789284,18+,77,226277068
Бегущий по лезвию,1982,117,"['Action', 'Drama', 'Sci-Fi']",8.1,789204,14+,84,32868943
Человек из стали,2013,143,"['Action', 'Adventure', 'Sci-Fi']",7.1,787187,12+,55,291045518
Я легенда,2007,101,"['Action', 'Drama', 'Horror']",7.2,781020,12+,65,256386216
Однажды в... Голливуде,2019,161,"['Comedy', 'Drama']",7.6,780070,18+,83,142502728
Город грехов,2005,124,"['Crime', 'Thriller']",8.0,779724,16+,74,74103820
"Хороший, плохой, злой",1966,161,"['Adventure', 'Western']",8.8,778499,12+,90,6100000
Тор: Рагнарёк,2017,130,"['Action', 'Adventure', 'Comedy']",7.9,778043,16+,74,315058289
Убить Билла 2,2004,137,"['Action', 'Crime', 'Thriller']",8.0,774982,18+,83,66208183
Индиана Джонс и последний крестовый поход,1989,127,"['Action', 'Adventure']",8.2,772901,0+,65,197171806
Город Бога,2002,130,"['Crime', 'Drama']",8.6,772012,16+,79,7563397
Амели,2001,122,"['Comedy', 'Romance']",8.3,770488,12+,69,33225499
Рататуй,2007,111,"['Animation', 'Adventure', 'Comedy']",8.1,768725,0+,96,206445654
Доктор Стрэндж,2016,115,"['Action', 'Adventure', 'Fantasy']",7.5,767364,12+,72,232641920
Суперсемейка,2004,115,"['Animation', 'Action', 'Adventure']",8.0,763453,12+,90,261441092
Как приручить дракона,2010,98,"['Animation', 'Action', 'Adventure']",8.1,762869,6+,75,217581231
Цельнометаллическая оболочка,1987,116,"['Drama', 'War']",8.3,759980,18+,78,46357676
Пленницы,2013,153,"['Crime', 'Drama', 'Mystery']",8.1,748456,16+,70,61002302
Головоломка,2015,95,"['Animation', 'Adventure', 'Comedy']",8.1,738291,6+,94,356461711
Пираты Карибского моря: Сундук мертвеца,2006,151,"['Action', 'Adventure', 'Fantasy']",7.3,737809,12+,53,423315812
Чужой 2,1986,137,"['Action', 'Adventure', 'Sci-Fi']",8.4,733549,16+,84,85160248
Звёздные войны. Эпизод 2: Атака клонов,2002,142,"['Action', 'Adventure', 'Fantasy']",6.6,730633,0+,54,310675583
Достать ножи,2019,130,"['Comedy', 'Crime', 'Drama']",7.9,728936,16+,82,165359751
Люди Икс: Дни минувшего будущего,2014,132,"['Action', 'Adventure', 'Sci-Fi']",7.9,725817,12+,75,233921534
Социальная сеть,2010,120,"['Biography', 'Drama']",7.8,724289,12+,95,96962694
Мой парень - псих,2012,122,"['Comedy', 'Drama', 'Romance']",7.7,722215,16+,81,132092958
Прибытие,2016,116,"['Drama', 'Mystery', 'Sci-Fi']",7.9,720599,16+,81,100546139
Стражи Галактики. Часть 2,2017,136,"['Action', 'Adventure', 'Comedy']",7.6,718384,16+,67,389813101
12 лет рабства,2013,134,"['Biography', 'Drama', 'History']",8.1,716688,16+,96,56671993
Бэтмен против Супермена: На заре справедливости,2016,151,"['Action', 'Adventure', 'Sci-Fi']",6.4,713043,12+,44,330360194
Жизнь прекрасна,1997,116,"['Comedy', 'Drama', 'Romance']",8.6,712214,0+,59,57598247
